n_doping,p_doping,Temp,tpe,tph,vin,iout
1.50E+01,1.50E+01,300,10000000,1000,0,-16.51427857
1.50E+01,1.50E+01,300,10000000,1000,0.05,-14.63451202
1.50E+01,1.50E+01,300,10000000,1000,0.1,-13.75448733
1.50E+01,1.50E+01,300,10000000,1000,0.15,-12.92811799
1.50E+01,1.50E+01,300,10000000,1000,0.2,-12.11294562
1.50E+01,1.50E+01,300,10000000,1000,0.25,-11.3053948
1.50E+01,1.50E+01,300,10000000,1000,0.3,-10.50863831
1.50E+01,1.50E+01,300,10000000,1000,0.35,-9.725842151
1.50E+01,1.50E+01,300,10000000,1000,0.4,-8.966576245
1.50E+01,1.50E+01,300,10000000,1000,0.45,-8.244125144
1.50E+01,1.50E+01,300,10000000,1000,0.5,-7.581698709
1.50E+01,1.50E+01,300,10000000,1000,0.55,-7.015472687
1.50E+01,1.50E+01,300,10000000,1000,0.6,-6.588380294
1.50E+01,1.50E+01,300,10000000,1000,0.65,-6.297569464
1.50E+01,1.50E+01,300,10000000,1000,0.7,-6.11407366
1.50E+01,1.50E+01,300,10000000,1000,0.75,-6
1.50E+01,1.50E+01,300,10000000,1000,0.8,-5.924453039
1.50E+01,1.50E+01,300,10000000,100000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,10000000,100000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,10000000,100000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,10000000,100000,-0.05,-15.43533394
1.50E+01,1.50E+01,300,10000000,100000,0,-16.51427857
1.50E+01,1.50E+01,300,10000000,100000,0.05,-14.63451202
1.50E+01,1.50E+01,300,10000000,100000,0.1,-13.75448733
1.50E+01,1.50E+01,300,10000000,100000,0.15,-12.92811799
1.50E+01,1.50E+01,300,10000000,100000,0.2,-12.11294562
1.50E+01,1.50E+01,300,10000000,100000,0.25,-11.3053948
1.50E+01,1.50E+01,300,10000000,100000,0.3,-10.50863831
1.50E+01,1.50E+01,300,10000000,100000,0.35,-9.725842151
1.50E+01,1.50E+01,300,10000000,100000,0.4,-8.966576245
1.50E+01,1.50E+01,300,10000000,100000,0.45,-8.244125144
1.50E+01,1.50E+01,300,10000000,100000,0.5,-7.581698709
1.50E+01,1.50E+01,300,10000000,100000,0.55,-7.015472687
1.50E+01,1.50E+01,300,10000000,100000,0.6,-6.588380294
1.50E+01,1.50E+01,300,10000000,100000,0.65,-6.297569464
1.50E+01,1.50E+01,300,10000000,100000,0.7,-6.11407366
1.50E+01,1.50E+01,300,10000000,100000,0.75,-6
1.50E+01,1.50E+01,300,10000000,100000,0.8,-5.924453039
1.50E+01,1.50E+01,300,10000000,10000000,-0.2,-15.3439018
1.50E+01,1.50E+01,300,10000000,10000000,-0.15,-15.36051351
1.50E+01,1.50E+01,300,10000000,10000000,-0.1,-15.3757179
1.50E+01,1.50E+01,300,10000000,10000000,-0.05,-15.43533394
1.50E+01,1.50E+01,300,10000000,10000000,0,-16.51427857
1.50E+01,1.50E+01,300,10000000,10000000,0.05,-14.63451202
1.50E+01,1.50E+01,300,10000000,10000000,0.1,-13.75448733
1.50E+01,1.50E+01,300,10000000,10000000,0.15,-12.92811799
1.50E+01,1.50E+01,300,10000000,10000000,0.2,-12.11294562
1.50E+01,1.50E+01,300,10000000,10000000,0.25,-11.3053948
1.50E+01,1.50E+01,300,10000000,10000000,0.3,-10.50863831
1.50E+01,1.50E+01,300,10000000,10000000,0.35,-9.725842151
1.50E+01,1.50E+01,300,10000000,10000000,0.4,-8.966576245
1.50E+01,1.50E+01,300,10000000,10000000,0.45,-8.244125144
